一;one;In Chinese characters, the number **one** is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.;* As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of _floor_ or _ceiling_ , depending on its position: if it stands above another primitive, it means _ceiling_ , if below, _floor_.;1) [[Piitaa](http://kanji.koohii.com/profile/Piitaa)] 29-6-2006(263): **One** down, 2041 to go. ,).;2) [[findus](http://kanji.koohii.com/profile/findus)] 11-5-2008(98): To learn this **one** kanji, I [recommend](../v4/2000.html) (#2000 薦) this story : _Bambi_ is in a _cave_ , eating a side-dish of _salad_ when trying to learn the kanjis. As he succeed to learn the kanji for "one", you get jealous and decide to shoot him with a _slingshot_. At this moment you hear the police coming, so you hurriedly burn all the proofs into a _fire_ (so you remove the key-words _Bambi_ , _slingshot_ and _fire_ from _recommend_ ). So that when the police arrives, the only remaining clue is a single horizontal bar.;3) [[diracbracket](http://kanji.koohii.com/profile/diracbracket)] 27-2-2008(93): This **one** is too difficult to remember. If the other Kanji are this difficult, I'm giving up.;4) [[breton](http://kanji.koohii.com/profile/breton)] 10-10-2007(44): A sleeping Roman I. ,).;5) [[MeisterLlama](http://kanji.koohii.com/profile/MeisterLlama)] 29-4-2009(36): Tips for your journey:1)check the keywords (for example with saiga-jp kanji dict or jisho.org or <http://dic.yahoo.co.jp> \+ rikaichan). heisig messes up a lot. 2)you'll get mixed up if you use too many penis euphemisms. i try to stick with just "crotch" for penis. 3)try to use the right meaning of the keyword in your stories. for example 抄 "extract" is like an excerpt, not the verb extract.
噌;miso;;;1) [[billyclyde](http://kanji.koohii.com/profile/billyclyde)] 31-10-2007(39): **Miso** is full of active microbial cultures, so when you put it in your MOUTH, those bacteria just INCREASE and INCREASE until your mouth is overflowing with **miso**!;2) [[oregum](http://kanji.koohii.com/profile/oregum)] 10-6-2010(24): The みそ汁 in your MOUTH was FORMERLY soy beans.;3) [[theasianpleaser](http://kanji.koohii.com/profile/theasianpleaser)] 25-1-2009(8): My hunger _increases_ as the **miso** gets closer to my _mouth_.;4) [[peacemik](http://kanji.koohii.com/profile/peacemik)] 27-4-2010(5): **Miso** _increases_ the tastiness of the foods that you put in your _mouth_ (e.g., grilled pork marinated in **miso** ). 味噌漬け (みそづけ): meat, fish, or vegetables preserved in **miso** 味噌汁 (みそしる): **miso** soup 糠味噌 (ぬかみそ): salted rice-bran paste for pickling 糠味噌臭い (ぬかみそくさい): having an air of domesticity 手前味噌 (てまえみそ): self-flattery, singing one's own praises.;5) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 11-2-2007(5): _Prince_ opens his _mouth_ to drink **miso** soup when he's in Japan.
邑;city walls;;;1) [[CharleyGarrett](http://kanji.koohii.com/profile/CharleyGarrett)] 19-2-2007(34): The **city walls** are beautifully built. High above you, shows you the famous _mouth_ s of former city mayors, all smiling down at you, integrated into a total _mosaic_ making the **city walls** a unified beautiful work of art.;2) [[Doodsaq](http://kanji.koohii.com/profile/Doodsaq)] 25-7-2009(21): I stand outside the **city walls** , requesting permission to enter. The guard hands me a Rubik's cube and tells me ill only be allowed in after I fit the whole thing in my mouth…;3) [[Neobeo](http://kanji.koohii.com/profile/Neobeo)] 12-1-2009(4): The only way to pass through these **city walls** is through this secured _mouth_ here. You have to solve a _rubik's cube_ for it to open.;4) [[gavmck](http://kanji.koohii.com/profile/gavmck)] 13-3-2010(3): The **city walls** had a lovely _mosaic_ design. However, they also had defensive features including _openings_ above through which boiling oil could be poured or cannons fired.;5) [[sgrant](http://kanji.koohii.com/profile/sgrant)] 15-5-2009(2): In Murakami's 'End of the World' scenario, the only way to escape the **city walls** was via the _mouth_ of the river, which the Dreamreader found by piecing his thoughts together like a _mosaic_.
呆;dumbfounded;;;1) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 12-10-2006(92): His _mouth_ fell open **dumbfounded** when he woke up and found himself on top of a _tree_.;2) [[Katsuo](http://kanji.koohii.com/profile/Katsuo)] 6-10-2007(55): The first time I saw an Australian apricot tree ( 呆 vs. 杏 ) I was **dumbfounded**.;3) [[kumakuma](http://kanji.koohii.com/profile/kumakuma)] 2-4-2009(8): My MOUTH fell open **dumbfounded** when she told me that it is ok that I put my WOOD into her MOUTH.;4) [[At0m5k](http://kanji.koohii.com/profile/At0m5k)] 6-8-2009(6): You'd be **dumbfounded** too if you found a _tree_ with a _mouth_! The damn thing can talk, and no it's not dumb, it's quite intelligent!;5) [[dihutenosa](http://kanji.koohii.com/profile/dihutenosa)] 30-6-2008(5): [+katsuo] A certain tribe of people live entirely on _apricots_ \- but they constantly cut the top of their _mouths_ on the stems (cutting fruit is against their religion). An English anthropologist happens upon them one day and sees their dilemma - and suggests that they turn the _apricot_ upside down ( 杏 – > 呆 ). They are **dumbfounded** , and overjoyed at not having bleeding palettes anymore - but this new way cuts up their vocal cords and leaves them literally **dumbfounded**!
喰;ingest;;;1) [[CharleyGarrett](http://kanji.koohii.com/profile/CharleyGarrett)] 2-12-2006(41): **Ingest** is a fancy word for what you do with your _mouth_ as you _eat_.;2) [[Katsuo](http://kanji.koohii.com/profile/Katsuo)] 6-10-2007(19): Note: This is a colloquial word for "eat", so the formal keyword "ingest" might better be replaced with something like "scoff" or "tuck in", etc. Suggested story: "Yeuk! I can see the _food_ rolling around in your _mouth_ when you **scoff** it like that!".;3) [[billyclyde](http://kanji.koohii.com/profile/billyclyde)] 21-5-2008(5): It's too simple! MOUTH & FOOD eatquals– **ingest**! You **ingest** so much food you **ingest** your own mouth. Slow down, champ.;4) [[Meconium](http://kanji.koohii.com/profile/Meconium)] 10-4-2011(2): **Ingest** implies something that goes in your _mouth_ and you swallow it, not necessarily something you deliberately _eat_. If you stick your head out the window of a car and **ingest** a fly, it's not the same as deliberately _eat_ ing a fly at the dinner table. [Note: what Katsuo says is true, this kanji means **OM NOM NOM NOM**. My elaboration of the keyword "ingest" stops me from confusing it with [repast](../v4/2798.html) (#2798 餐).].;5) [[kapalama](http://kanji.koohii.com/profile/kapalama)] 29-11-2010(1): 喰らう , 喰う , 面喰らう , ビンタを喰う [ingest](../v4/2182.html) (#2182 喰) 国字 , くう, くらう … Parts: 口 , 食 … Similars: 喰う [ingest](../v4/2182.html) (#2182 喰), 食う [eat](../v4/1472.html) (#1472 食), 喫煙 [consume](../v4/1550.html) (#1550 喫) … Note: Means the same thing as 食う .
埴;clay;;;1) [[Katsuo](http://kanji.koohii.com/profile/Katsuo)] 9-2-2007(50): This one rhymes: "If you fights wiz Cassius **Clay** , you'll hit the _soil_ , boy, _straightaway_!".;2) [[aircawn](http://kanji.koohii.com/profile/aircawn)] 31-10-2007(12): A special type of **clay** , this _soil_ will cook into porcelain _straightaway_.;3) [[Nukemarine](http://kanji.koohii.com/profile/Nukemarine)] 21-6-2008(7): Thanks to Aircawn: **CLAY** is pretty simple. It comes from the SOIL naturally. You'll make something pretty with it then STRAIGHTAWAY you must heat it to make it hold it's shape.;4) [[spleenlol](http://kanji.koohii.com/profile/spleenlol)] 19-7-2010(6): Just as plants don't become trees straightaway (Ref: [plant](../v4/205.html) (#205 植)), _soil_ doesn't become **clay** _straightaway_.;5) [[eckbw](http://kanji.koohii.com/profile/eckbw)] 4-7-2011(1): **Clay** comes from the soil and you need to form it into something straightaway or it´ll dry up and become unusable. Onyomi ショク.
坤;authochthonous;;;1) [[dukelexon](http://kanji.koohii.com/profile/dukelexon)] 17-3-2008(57): While " **autochthonous** " can mean "indigenous" in ENGLISH, that is NOT one of the potential meanings of this character (thus, the majority of these stories will not help you with meaning). Rather, the kanji is "autochthonous" in the sense of being Earthly, mystic, and portentous (the ancient, primitive, sacred power of DIRT and SOIL). A vague, poorly-chosen keyword all around. Mantixen's story does the best job of conveying accurate meaning–> "A _monkey_ likes the **earthy/autochthonous** feel of _soil_ ".;2) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 15-2-2007(33): A _monkey_ likes the **earthy** feel of _soil_.;3) [[CountPacula](http://kanji.koohii.com/profile/CountPacula)] 16-2-2009(9): When it saw the keyword for this kanji, the _monkey_ _soiled_ itself…;4) [[decals](http://kanji.koohii.com/profile/decals)] 29-8-2010(5): I've never seen this word before, so I'm just going to say it's the name of a Pokemon. **Authochthonous** is a giant monkey made of dirt with all sorts of "earthy" attacks.;5) [[herman](http://kanji.koohii.com/profile/herman)] 15-1-2009(5): Heisig explains this has meaning of "earthly" in Chinese astrology. Replace the altar with soil in 神 and you have **authochthonous** diety.
壕;dugout;;;1) [[n1williams](http://kanji.koohii.com/profile/n1williams)] 16-12-2009(33): A **DUGOUT** is a dry moat found around Japanese castles. The SOIL is arranged so as to OVERPOWER (or give the advantage to OVERPOWER) an attacking army. If dug in a low lying area it fills with water and becomes a moat ( 濠 [moat](../v4/2306.html) (#2306 濠)).;2) [[CharleyGarrett](http://kanji.koohii.com/profile/CharleyGarrett)] 15-4-2008(14): As they constructed the visiting team **dugout** , they removed a quantity of _soil_ when there was an _overpowering_ stench. Nobody will want to use this **dugout**!;3) [[sgrant](http://kanji.koohii.com/profile/sgrant)] 18-5-2009(10): Too scared to go up to bat, one of the players _soils_ himself in the **dugout**. The smell is so _overpowering_ , the other players have to step out for air.;4) [[cameron_en](http://kanji.koohii.com/profile/cameron_en)] 7-11-2008(10): We needed to create a **dugout** in the _soil_ in order to avoid the _overpowering_ attacks coming from the sky.;5) [[icamonkey](http://kanji.koohii.com/profile/icamonkey)] 8-8-2009(5): Hiding in a **dugout** , below the _soil_ is the once _overpowering_ Sadam Hussein.
垢;blemish;;;1) [[astridtops](http://kanji.koohii.com/profile/astridtops)] 17-8-2006(48): Big consternation in the court! A little bit of _soil_ in the garden touched the _empress_ ' face and left a **blemish** there. Courtiers fainted left and right…;2) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 14-10-2008(21): The _empress_ gets a _soil_ mask at the spa to treat a **blemish**.;3) [[Green_Airplane](http://kanji.koohii.com/profile/Green_Airplane)] 18-2-2010(11): 垢嘗 [akaname] or ' **grime** licker' is a classical Japanese monster that comes out when your ofuro gets dirty and feeds on the filth. Its saliva is said to be poisonous. You can just picture it, hanging from the _ceiling_ of your bathroom, _dragging_ its enormous tongue wagging from its _mouth_ , eating up all the _dirt_. If that doesn't help, try this: The _empress_ is actually using the services of akaname to clean **blemish** off her face. As for the poison, well it works like botox..;4) [[icamonkey](http://kanji.koohii.com/profile/icamonkey)] 8-8-2009(4): Using **grime** instead. "Look at all this **grime**. There's _dirt_ everywhere the _empress_ screeches, attendants cleaning left and right. (If you use a google image search for this kanji a bunch of cleaning products come up).;5) [[CharleyGarrett](http://kanji.koohii.com/profile/CharleyGarrett)] 19-2-2007(3): It's not a serious **blemish**. It's just a bit of _soil_ that accidentally smudged the _empress_ 's face. We wish that all **blemish** s would just wash off don't we?
坦;flat;;;1) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 15-2-2007(38): I'm usually **flat** on the _soil_ passed out at _nightbreak_.;2) [[Katsuo](http://kanji.koohii.com/profile/Katsuo)] 13-2-2007(20): I have a nice big garden with one problem – moles! Anyway, when I get up at _nightbreak_ (= dawn) there are always piles of _soil_ (molehills) everywhere. My first task of the day is to jump on them to make them **flat**.;3) [[Meconium](http://kanji.koohii.com/profile/Meconium)] 23-7-2009(8): The gardener got up early to trim the top off the [hedge](../v4/154.html) (#154 垣) so that it would be even and **flat** along the top surface.;4) [[Neobeo](http://kanji.koohii.com/profile/Neobeo)] 20-1-2009(6): Secret tip for **flat** -chested people: Rub _soil_ on your chest until _nightbreak_ and it will magically grow.;5) [[dtcamero](http://kanji.koohii.com/profile/dtcamero)] 26-12-2010(3): The earth's SOIL was **FLAT** from DAY ONE (if you're a creationist).
埠;wharf;;;1) [[CharleyGarrett](http://kanji.koohii.com/profile/CharleyGarrett)] 8-5-2007(28): He came to finding himself down at the **wharf** with _soil_ all over his tuxedo. The _maestro_ can only guess that he'd been drugged by some _needle_ sharp dart, since the last thing that he recalled was feeling a prick on the bottom, before waking up at the **wharf**.;2) [[Katsuo](http://kanji.koohii.com/profile/Katsuo)] 20-2-2008(21): Note: Right side 阜 is [large hill](../v4/2928.html) (#2928 阜).;3) [[Peppi](http://kanji.koohii.com/profile/Peppi)] 12-5-2009(17): If you build a **wharf** on a _[large hill](../v4/2928.html) (#2928 阜)_ , the vessels should be able to sail the _soil_.;4) [[decals](http://kanji.koohii.com/profile/decals)] 29-8-2010(12): You idiot! Why on earth did you build the **wharf** on a large hill? Are the ships supposed to sail through the dirt to get there? That is seriously the WORST place you could have built it.;5) [[spleenlol](http://kanji.koohii.com/profile/spleenlol)] 8-9-2010(5): This was once a [large hill](../v4/2928.html) (#2928 阜) before the _soil_ was removed to create a **wharf**.
堰;dam;;;1) [[abaddon](http://kanji.koohii.com/profile/abaddon)] 4-5-2008(49): Soil, box, sun, woman: In Peru, they were constructing a **dam** and to this end, _soil_ was gathered from the surrounds. During the excavations, they found a _box_ , containing little statue of the _sun_ _woman_ (godess). A nice archeological find, but detrimental for the **dam** building efforts, since the work was to be halted.;2) [[icamonkey](http://kanji.koohii.com/profile/icamonkey)] 11-8-2009(18): To build the **dam** , _soil_ was collected and carried in _cardboard boxes_. And when the _sun_ got hot, they made the _women_ do it.;3) [[billyclyde](http://kanji.koohii.com/profile/billyclyde)] 1-3-2008(10): All the **dam** s were built by the Army Corps of Engineers' Ladies' Auxiliary. So the WOMEN worked under the SUN all day, with a BOX full of DIRT on their shoulders, to & fro, building up the dirt wall that would become this mighty **dam**.;4) [[mcfate](http://kanji.koohii.com/profile/mcfate)] 14-2-2008(6): This is a picnic: a 宴 [banquet](../v4/191.html) (#191 宴) outside of the house, sitting on a flattened _box_ on the _soil_. This particular picnic is happening in the shadow of the **dam** , hope it doesn't burst and wash away all our food.;5) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 22-7-2009(4): Workers constructing the **dam** bring a _boxed lunch_ (a _banquet_ in a _box_ without a house under which to eat it) and try not to get _soil_ in it.
堵;railing;;;1) [[cameron_en](http://kanji.koohii.com/profile/cameron_en)] 8-11-2008(28): I was relieved to find my stolen _lovedoll_ tied to some **railing**. She's a bit _dirty_ but still good!;2) [[mantixen](http://kanji.koohii.com/profile/mantixen)] 14-10-2008(11): A **railing** prevents museum patrons from getting _soil_ on the _voodoo dolls_.;3) [[Meconium](http://kanji.koohii.com/profile/Meconium)] 24-7-2009(6): The _ninja_ sprinkled a thin powder of fine _soil_ along the hand **railing** , so he would know if anyone had walked down the staircase - if the _soil_ were disturbed, he would find another way out.;4) [[abaddon](http://kanji.koohii.com/profile/abaddon)] 4-5-2008(6): Soil, lovedoll: In the museum, a new **railing** was installed as a preparation for the new exhibit: a _lovedoll_ made of baked _soil_. The _lovedoll_ is dated to be more than 5000 years old, but is very well preserved. The **railing** is installed to avoid… incidents.;5) [[adrianbarritt](http://kanji.koohii.com/profile/adrianbarritt)] 12-12-2007(4): _Pinnochio_ went to his first horse race. But he got too close the **railing** s and was covered by flying _soil_ as the horses went past.
嬰;suckling infant;;;1) [[aircawn](http://kanji.koohii.com/profile/aircawn)] 31-10-2007(80): The _woman_ removes the _two shells_ covering her breasts (for modesty) and then attaches the **suckling infant**. How very Little Mermaid…;2) [[lankydan](http://kanji.koohii.com/profile/lankydan)] 13-9-2007(9): I see this as two **suckling infant** s clamped onto their mother (woman) like shellfish when breastfeeding.;3) [[Meconium](http://kanji.koohii.com/profile/Meconium)] 24-7-2009(7): The old form of [cherry tree](../v4/1932.html) (#1932 桜) uses this as the right hand side (i.e. two _shellfish_ instead of _owl_ ). Compare 桜 to 櫻. It's not in RtK3 but it's still very common - I saw it on a building yesterday. Story: two _clams_ latched onto the _woman_ 's breasts like two **suckling infant** s.;4) [[kapalama](http://kanji.koohii.com/profile/kapalama)] 31-10-2010(2): 嬰児 , 退嬰 , 退嬰的 , [suckling infant](../v4/2193.html) (#2193 嬰)エイ, みどりご … Parts: 貝 , 貝 , 女 (cf 櫻[Unicode-0x6afb](http://kanji.koohii.com/study/kanji/27387) (#27387 櫻), 鸚 [parakeet](../v4/2830.html) (#2830 鸚) … Story: Old 桜 is 櫻. In old Japan, the 櫻 was valued for the blossoms and the 鸚哥 singing. In fact the parakeets singing was so loud you could even abandon a **Suckling Infant** in those trees. In fact what with the Cherry blossoms falling, the Parakeets singing and the abandoned **Suckling Infant** s, it was not much a tree anyway.;5) [[Boy.pockets](http://kanji.koohii.com/profile/Boy.pockets)] 15-1-2011(1): The poor _woman_ had two **suckling infant** s. Both her breasts felt like they had two spiky _shells_ attacking them.
